handle,condition,week,feed_average_prop_in_network_posts
addyros.bsky.social,representative_diversification,7.0,0.035
addyros.bsky.social,representative_diversification,8.0,0.015
adeniji259.bsky.social,representative_diversification,1.0,0.0
adeniji259.bsky.social,representative_diversification,2.0,0.0
adeniji259.bsky.social,representative_diversification,3.0,0.006
adeniji259.bsky.social,representative_diversification,4.0,0.0
adeniji259.bsky.social,representative_diversification,5.0,0.0
adeniji259.bsky.social,representative_diversification,6.0,0.001
adeniji259.bsky.social,representative_diversification,7.0,0.003
adeniji259.bsky.social,representative_diversification,8.0,0.013
adesanyaa.bsky.social,engagement,1.0,0.025
adesanyaa.bsky.social,engagement,2.0,0.02
adesanyaa.bsky.social,engagement,3.0,0.017
adesanyaa.bsky.social,engagement,4.0,0.09
adesanyaa.bsky.social,engagement,5.0,0.073
adesanyaa.bsky.social,engagement,6.0,0.078
adesanyaa.bsky.social,engagement,7.0,0.057
adesanyaa.bsky.social,engagement,8.0,0.045
adoptapet.bsky.social,representative_diversification,1.0,0.018
adoptapet.bsky.social,representative_diversification,2.0,0.071
adoptapet.bsky.social,representative_diversification,3.0,0.081
adoptapet.bsky.social,representative_diversification,4.0,0.425
adoptapet.bsky.social,representative_diversification,5.0,0.5
adoptapet.bsky.social,representative_diversification,6.0,0.5
adoptapet.bsky.social,representative_diversification,7.0,0.5
adoptapet.bsky.social,representative_diversification,8.0,0.462
adordani.bsky.social,representative_diversification,1.0,0.0
adordani.bsky.social,representative_diversification,2.0,0.0
adordani.bsky.social,representative_diversification,3.0,0.0
adordani.bsky.social,representative_diversification,4.0,0.0
adordani.bsky.social,representative_diversification,5.0,0.0
adordani.bsky.social,representative_diversification,6.0,0.0
adordani.bsky.social,representative_diversification,7.0,0.0
adordani.bsky.social,representative_diversification,8.0,0.0
aeleis.bsky.social,reverse_chronological,1.0,0.0
aeleis.bsky.social,reverse_chronological,2.0,0.0
aeleis.bsky.social,reverse_chronological,3.0,0.0
aeleis.bsky.social,reverse_chronological,4.0,0.315
aeleis.bsky.social,reverse_chronological,5.0,0.447
aeleis.bsky.social,reverse_chronological,6.0,0.499
